comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
FG0168:FG0307	0.43	1	1	1	1	2	1	1	1	0	1	2	1	0	3	0.218	0.591	0.356	0.127	0.464	0.716	0.238	0.343	0.0	0.923	0.518	0.405	0.0	0.258
FG0168:FG0309	0.521	1	0	1	1	3	1	1	0	2	1	1	1	1	2	0.543	0.0	0.678	0.269	0.24	0.284	0.096	0.0	0.752	0.708	0.175	0.538	1.0	0.499
FG0168:FG0350	0.345	1	1	1	1	1	0	2	2	0	1	1	2	2	3	0.331	0.764	0.322	0.2	0.105	0.0	0.641	0.421	0.0	0.287	0.518	0.163	0.341	0.188
FG0168:FG0356	0.666	1	1	1	2	1	1	2	2	1	1	1	2	2	2	1.0	0.599	1.0	0.63	0.249	0.284	0.244	0.846	0.13	0.923	1.0	0.462	0.444	0.404
FG0168:FG0358	0.671	0	2	1	1	1	2	1	1	1	2	1	2	1	1	0.0	0.536	0.678	0.842	0.24	0.553	0.096	0.184	0.93	0.537	0.518	0.453	1.0	1.0
FG0168:FG0362	0.608	1	0	1	1	1	1	1	2	1	1	1	1	2	3	0.549	0.0	0.678	0.392	0.893	0.133	0.904	0.349	1.0	0.923	0.482	0.538	0.702	0.161
FG0168:FG0370	0.535	0	1	3	1	1	1	1	1	1	1	1	1	2	1	0.0	0.679	0.473	0.661	0.76	0.284	0.904	1.0	1.0	0.19	0.518	0.367	0.114	0.499
FG0168:FG0391	0.48	0	1	1	1	1	1	2	1	1	2	3	1	1	1	0.0	1.0	0.167	1.0	0.76	0.284	0.39	0.224	0.67	0.282	0.482	0.242	0.276	0.499
FG0168:FG0410	0.497	0	1	1	1	2	1	1	1	1	1	1	1	2	1	0.0	0.25	0.678	0.603	0.366	0.197	0.904	0.307	0.391	0.923	0.518	0.538	0.176	0.499
FG0168:FG0438	0.472	1	1	1	1	1	1	1	1	0	1	1	1	1	2	0.186	0.75	0.148	0.603	0.76	0.284	0.521	0.332	0.0	0.923	0.391	0.1	1.0	0.243
FG0168:FG0444	0.592	1	1	1	0	2	1	1	1	0	1	1	1	1	2	0.484	1.0	0.322	0.0	0.155	0.284	0.904	1.0	0.0	0.852	0.288	1.0	0.54	0.768
FG0168:FG0447	0.552	1	1	1	0	1	1	1	1	1	2	2	2	1	2	0.494	0.307	0.678	0.0	0.76	0.284	0.904	1.0	1.0	0.756	0.331	0.09	0.576	0.275
FG0168:FG0467	0.571	1	1	2	1	1	1	1	0	1	0	1	1	2	1	1.0	1.0	0.232	0.834	0.76	0.284	0.47	0.0	0.548	0.0	0.273	0.325	0.47	1.0
FG0168:FG0474	0.491	0	1	1	1	2	2	1	1	1	1	1	1	2	2	0.0	0.74	0.322	0.552	0.666	0.716	0.388	0.392	0.19	0.923	0.067	0.226	0.528	0.289
FG0168:FG0477	0.424	0	0	1	1	2	1	2	1	2	1	1	1	1	1	0.0	0.0	0.322	0.699	0.57	0.284	0.098	0.445	0.38	0.554	0.345	0.209	0.281	0.728
FG0168:FG0478	0.496	1	1	1	1	1	1	1	1	1	2	1	0	3	3	1.0	1.0	0.322	0.077	0.76	0.716	0.904	0.201	0.86	0.615	0.303	0.0	0.282	0.101
FG0168:FG0479	0.574	1	1	1	1	1	2	2	1	0	2	1	2	2	3	1.0	0.76	0.322	0.268	0.328	0.568	0.283	0.362	0.0	0.508	1.0	0.538	0.438	0.184
FG0168:FG0485	0.667	1	1	1	1	2	2	1	1	1	2	1	1	1	2	0.539	0.352	0.322	0.836	0.201	0.716	0.904	0.817	0.779	0.21	1.0	0.434	0.866	0.499
FG0168:FG0487	0.516	1	2	1	1	1	1	1	2	1	3	0	1	1	2	0.306	0.315	0.678	1.0	0.24	0.31	1.0	0.304	0.328	0.371	0.0	0.434	0.37	0.499
FG0168:FG0490	0.641	1	1	1	0	1	2	1	1	1	2	1	1	1	2	1.0	0.741	0.317	0.0	0.76	0.419	1.0	0.408	0.289	0.39	1.0	0.315	1.0	0.404
FG0168:FG0516	0.526	1	0	1	1	2	1	1	1	1	2	2	2	2	2	1.0	0.0	0.67	1.0	0.256	0.145	0.904	0.532	0.608	0.327	0.638	0.221	0.303	0.383
FG0168:FG0518	0.531	1	1	1	1	1	3	1	2	1	2	2	1	1	2	1.0	0.117	0.543	0.732	0.76	0.284	0.589	0.716	0.765	0.081	0.482	0.075	0.324	0.499
FG0168:FG0521	0.528	1	1	2	2	1	1	2	0	1	1	1	1	0	1	0.351	1.0	0.5	0.303	1.0	0.469	0.277	0.0	0.372	0.923	0.518	0.865	0.0	0.596
FG0168:FG0529	0.599	0	2	1	1	1	1	1	1	1	2	1	1	2	1	0.0	0.457	0.678	0.421	0.76	0.716	0.46	0.856	0.789	0.29	0.105	0.623	0.685	0.499
FG0168:FG0530	0.565	1	1	2	1	2	2	1	1	0	1	1	2	1	2	0.416	1.0	0.678	1.0	0.266	0.53	0.096	1.0	0.0	0.923	0.518	0.538	0.268	0.404
FG0168:FG0538	0.587	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1.0	1.0	0.678	0.37	0.76	0.142	0.904	0.638	0.134	0.661	0.482	0.462	0.572	0.324
FG0168:FG0549	0.51	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0.178	0.608	0.678	0.881	0.354	0.284	0.904	0.737	0.251	0.923	0.482	0.538	0.0	0.499
FG0168:FG0551	0.483	1	1	1	1	2	1	2	0	2	1	1	1	1	1	0.549	0.648	0.42	0.584	0.76	0.716	0.509	0.0	0.43	0.077	0.172	0.462	0.759	0.278
FG0168:FG0560	0.421	0	1	1	0	1	1	2	2	0	2	1	1	1	1	0.0	0.868	0.322	0.0	0.24	0.284	0.83	0.451	0.0	0.465	0.071	0.444	0.515	0.676
FG0168:FG0565	0.698	1	1	1	1	1	1	3	0	1	2	1	2	1	3	1.0	0.754	0.678	1.0	0.76	0.716	0.451	0.0	0.576	0.326	0.518	0.462	1.0	0.318
FG0168:FG0566	0.615	1	1	1	0	2	1	1	2	1	3	2	1	2	2	0.416	0.246	0.322	0.0	0.692	0.716	0.096	0.724	1.0	0.324	0.482	0.391	0.559	0.428
FG0168:FG0573	0.592	0	0	1	0	1	2	2	1	1	1	1	1	1	1	0.0	0.0	0.322	0.0	0.075	0.53	0.251	1.0	1.0	0.923	0.518	0.538	1.0	0.596
FG0168:FG0589	0.497	1	0	2	1	2	2	0	1	1	2	1	1	2	1	0.28	0.0	0.322	0.148	0.24	0.327	0.0	0.735	0.866	0.367	0.386	0.538	0.673	0.499
FG0168:FG0590	0.578	1	3	1	1	2	1	1	1	1	1	2	1	1	2	1.0	0.28	0.322	1.0	0.76	0.716	0.096	0.551	0.063	0.923	0.412	0.569	0.374	0.499
FG0168:FG0593	0.462	1	1	1	2	2	1	1	1	1	2	1	2	1	2	1.0	0.279	0.178	0.529	0.387	0.284	0.904	0.559	0.117	0.71	0.133	0.313	0.282	0.425
FG0168:KH004_2_019_H9/	0.668	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1.0	1.0	0.678	1.0	0.76	0.716	0.096	0.0	1.0	0.923	0.482	0.538	1.0	0.404
FG0168:Mal31/	0.332	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0.0	0.0	0.322	0.0	0.24	0.284	0.904	1.0	0.0	0.077	0.518	0.462	0.0	0.499
FG0169:FG0170	0.436	1	2	2	2	2	0	2	2	1	2	0	1	4	1	0.286	0.576	0.149	0.445	0.276	0.0	0.296	0.461	0.637	0.473	0.0	0.184	0.271	0.336
FG0169:FG0177	0.627	2	1	1	1	1	2	2	3	2	1	2	1	2	2	0.617	0.576	0.409	0.717	0.592	0.382	0.516	0.347	0.363	1.0	0.514	0.603	0.306	0.336
FG0169:FG0178	0.342	1	1	1	1	1	1	1	2	1	1	1	0	3	1	0.383	0.424	0.173	0.162	0.408	0.666	0.296	0.133	0.381	1.0	0.163	0.0	0.381	0.069
FG0169:FG0180	0.407	1	1	1	2	2	1	1	2	2	1	0	1	3	1	0.286	0.424	0.399	0.283	0.18	0.458	0.296	0.133	0.363	1.0	0.0	0.656	0.381	0.103
FG0169:FG0181	0.561	1	1	1	1	2	1	1	2	2	1	1	1	3	1	0.165	0.424	0.409	0.717	0.592	0.28	0.296	0.133	0.363	1.0	0.634	0.53	0.381	0.569
FG0169:FG0182	0.455	1	1	1	1	1	0	1	2	2	1	1	1	3	3	0.383	0.424	0.591	0.717	1.0	0.0	0.296	0.219	0.255	0.27	0.084	0.211	0.556	0.239
FG0169:FG0183	0.591	1	2	1	1	1	1	1	3	1	1	2	1	2	2	0.383	0.424	0.591	0.062	0.583	0.465	0.704	0.178	0.381	1.0	0.583	1.0	0.138	0.405
FG0169:FG0184	0.517	1	2	1	1	2	1	2	2	1	2	1	1	2	2	0.383	0.58	0.409	0.283	0.408	0.581	0.296	0.133	0.381	0.632	1.0	0.181	0.189	0.343
FG0169:FG0186	0.493	2	1	1	1	1	1	1	3	1	2	1	2	3	1	0.456	1.0	0.326	0.283	0.079	1.0	0.704	0.337	0.381	0.409	0.478	0.168	0.381	0.336
FG0169:FG0189	0.538	1	1	2	1	1	1	2	2	1	1	1	1	2	2	0.383	0.424	0.409	0.283	0.408	1.0	0.418	0.588	0.391	0.233	0.16	1.0	0.175	0.426
FG0169:FG0198	0.501	1	1	2	1	1	1	1	1	3	1	0	2	3	1	0.383	0.424	0.524	0.106	0.592	0.348	0.296	0.91	0.381	0.522	0.0	0.592	0.311	0.664
FG0169:FG0220	0.394	1	2	1	1	2	0	1	2	2	2	1	2	2	2	0.383	0.221	0.261	0.589	0.592	0.0	0.296	0.133	0.637	0.249	0.136	0.543	0.117	0.336
FG0169:FG0221	0.44	1	1	1	1	1	1	1	1	1	1	0	1	3	2	0.617	0.424	0.591	0.717	0.052	0.658	0.106	0.133	1.0	0.127	0.0	0.46	0.381	0.427
FG0169:FG0232	0.495	1	1	1	2	2	1	1	2	3	1	1	2	2	1	0.617	0.053	0.591	0.626	0.107	1.0	0.296	0.358	0.286	0.062	0.41	0.192	0.138	0.903
FG0169:FG0260	0.577	1	2	2	1	2	1	1	1	1	1	2	1	2	1	0.617	0.424	0.472	0.717	0.408	0.652	1.0	0.91	0.3	0.418	0.512	0.611	0.138	0.483
FG0169:FG0261	0.517	1	2	0	1	2	2	1	1	1	1	1	2	3	1	0.617	0.424	0.0	0.283	0.408	0.733	0.296	0.91	0.255	0.27	0.37	0.401	0.167	0.664
FG0169:FG0264	0.412	1	2	2	1	1	1	2	2	2	3	2	1	2	2	0.617	0.291	0.319	0.717	0.408	0.09	0.704	0.133	0.255	0.27	0.273	0.068	0.192	0.336
FG0169:FG0266	0.254	1	1	1	1	1	0	1	1	1	0	2	1	3	1	0.27	0.424	0.409	0.076	0.408	0.0	0.075	0.09	0.381	0.0	0.469	0.085	0.138	0.336
FG0169:FG0268	0.577	1	1	2	1	1	2	1	1	2	1	1	0	3	1	0.617	0.576	0.268	0.717	0.501	0.615	0.704	0.867	0.354	0.828	1.0	0.0	0.381	0.235
FG0169:FG0272	0.532	1	1	2	2	2	2	1	2	2	1	2	1	3	1	0.383	0.197	0.591	0.309	0.306	0.439	0.296	0.133	0.381	0.88	0.174	1.0	0.381	0.336
FG0169:FG0288	0.579	2	1	1	1	1	2	2	2	2	1	1	0	2	2	0.383	0.424	0.591	0.283	0.274	0.78	0.351	0.697	0.363	1.0	0.57	0.0	0.381	0.699
FG0169:FG0290	0.581	1	2	1	1	1	0	1	2	2	1	2	2	2	2	0.201	0.269	0.591	0.357	0.494	0.0	1.0	0.631	0.363	0.854	0.531	0.291	0.381	0.336
FG0169:FG0292	0.499	1	2	1	1	1	2	2	2	2	1	2	1	3	1	0.617	0.451	0.591	0.283	0.592	0.786	0.281	0.518	0.363	0.527	0.248	0.499	0.276	0.122
FG0169:FG0293	0.594	1	2	1	1	2	1	2	1	1	2	1	1	2	2	0.617	0.436	0.591	0.283	0.195	1.0	0.296	0.346	0.255	0.523	0.299	1.0	0.292	0.594
FG0169:FG0295	0.669	2	1	2	1	1	1	1	2	3	1	2	1	3	2	0.383	1.0	0.591	0.085	0.592	0.621	0.704	0.379	0.381	1.0	0.392	1.0	0.157	0.405
FG0169:FG0307	0.602	2	1	1	1	1	0	2	3	1	1	1	2	2	2	0.617	1.0	0.269	0.589	0.056	0.0	0.704	0.343	0.381	1.0	0.821	0.531	0.189	0.45
FG0169:FG0309	0.542	1	1	1	1	2	1	1	2	3	1	1	0	3	2	0.073	0.424	0.591	1.0	0.11	1.0	0.704	0.133	0.255	0.786	0.657	0.0	0.381	0.336
FG0169:FG0350	0.591	1	2	1	1	2	1	2	3	1	2	1	1	1	3	0.286	0.58	0.409	0.517	0.408	0.708	0.168	0.288	0.381	0.287	1.0	0.433	0.916	0.215
FG0169:FG0356	0.732	1	1	2	2	2	1	2	1	2	1	1	1	3	1	0.383	0.176	0.591	0.283	0.489	1.0	0.29	0.843	0.381	1.0	0.552	0.7	0.381	0.893
FG0169:FG0358	0.562	1	1	1	1	1	1	1	2	2	2	1	2	3	2	0.617	0.797	0.591	0.125	0.408	0.447	0.704	0.133	0.293	0.615	1.0	0.147	0.381	0.405
FG0169:FG0362	0.42	2	1	1	1	2	1	1	2	2	1	0	0	3	2	0.451	0.424	0.591	0.325	0.361	0.583	0.296	0.258	0.363	1.0	0.0	0.0	0.381	0.099
FG0169:FG0370	0.561	1	1	2	1	1	1	1	1	2	1	1	1	3	1	0.617	0.255	0.473	0.056	0.592	1.0	0.296	0.777	0.363	0.233	1.0	0.904	0.189	0.336
FG0169:FG0391	0.398	1	1	1	1	1	1	3	2	1	1	2	1	3	1	0.617	0.58	0.253	0.283	0.592	1.0	0.302	0.133	0.255	0.282	0.214	0.288	0.175	0.336
FG0169:FG0410	0.459	1	1	1	1	0	1	1	3	2	1	1	0	3	1	0.617	0.173	0.591	0.063	0.0	0.519	0.296	0.307	0.255	1.0	1.0	0.0	0.327	0.336
