comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
DE018N0:DE068N0	0.656	1	2	2	1	1	2	2	3	2	2	2	2	1	2	1.0	0.165	0.523	0.427	0.227	0.498	0.64	0.53	0.593	0.455	0.604	0.223	0.755	0.62
DE018N0:DE077N0	0.591	1	1	1	1	2	2	1	2	1	2	2	3	1	2	0.218	0.48	0.265	0.441	0.203	0.339	1.0	0.458	0.593	0.371	0.204	0.356	1.0	0.426
DE018N0:DE133C0	0.591	2	1	1	1	2	2	1	2	2	1	1	2	2	2	0.529	0.137	0.054	1.0	0.544	0.339	0.814	0.58	0.313	0.765	0.396	0.504	0.379	0.114
DE018N0:DE135C0	0.487	2	1	2	1	1	3	2	2	1	1	2	2	0	2	0.546	0.251	0.286	0.744	0.439	0.339	0.581	0.133	0.407	0.15	0.604	0.402	0.0	0.597
DE018N0:DE141C0	0.558	1	1	1	2	1	1	1	2	2	1	2	2	2	2	0.218	0.749	0.87	0.273	0.439	0.498	0.098	0.58	0.593	0.765	0.528	0.21	0.118	0.392
DE018N0:DE150C0	0.393	2	2	2	0	2	2	1	1	1	0	1	3	1	2	0.373	0.612	0.681	0.0	0.143	0.412	0.186	0.076	0.125	0.0	0.345	0.319	0.219	0.714
DE018N0:DE165C0	0.435	2	1	2	1	2	1	2	2	1	2	3	4	3	2	0.223	0.075	0.641	0.273	0.296	0.339	0.227	0.285	0.26	0.15	0.305	0.154	0.346	0.19
DE018N0:DE166C0	0.543	1	1	2	0	2	1	2	1	1	1	2	3	1	3	0.782	0.251	0.618	0.0	0.439	0.661	0.345	0.076	0.593	0.765	0.481	0.273	0.632	0.2
DE018N0:DE194C0	0.561	2	1	1	2	1	2	1	1	1	1	1	3	1	2	0.255	0.749	0.265	0.273	0.439	0.339	0.536	0.076	0.407	0.765	0.396	0.289	0.672	0.646
DE018N0:DE205C0	0.578	2	1	1	0	2	2	2	2	3	2	2	2	2	3	0.782	0.339	0.33	0.0	0.439	0.339	0.407	0.58	0.147	0.615	0.396	0.504	0.672	0.339
