comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
HI0148.F2:HI0177.F2	0.648	2	1	2	1	1	1	3	2	2	2	1	1	2	2	0.557	1.0	0.598	1.0	0.572	0.467	0.308	0.146	0.609	0.272	0.326	1.0	0.349	0.378
HI0148.F2:HI0183.F2	0.479	1	0	2	1	1	2	2	1	2	1	3	2	2	1	0.817	0.0	0.372	0.342	0.428	0.337	0.486	0.441	0.436	0.443	0.356	0.415	0.19	0.454
HI0148.F2:HI0185.F2	0.581	2	1	1	1	1	1	1	2	2	2	1	3	2	3	0.444	0.196	0.506	1.0	0.301	0.467	0.432	0.764	0.527	0.732	0.515	0.179	0.31	0.27
HI0148.F2:HI0187.F2	0.564	1	1	1	1	2	1	1	1	1	2	2	2	2	2	0.817	1.0	0.805	0.382	0.157	0.467	0.514	0.708	0.892	0.293	0.295	0.263	0.263	0.608
HI0148.F2:HI0188.F2	0.534	2	1	1	1	1	2	2	2	2	1	2	1	2	1	0.409	0.559	0.544	0.44	0.572	0.359	0.228	0.14	0.391	0.275	0.16	0.79	0.466	0.749
HI0148.F2:HI0189.F2	0.436	2	1	1	0	1	1	2	1	1	1	2	2	2	2	0.611	1.0	1.0	0.0	0.428	0.533	0.294	0.084	0.391	0.275	0.212	0.292	0.322	0.222
HI0148.F2:HI0190.F2	0.496	1	1	0	1	3	1	1	1	2	2	3	2	2	3	0.184	0.723	0.0	1.0	0.421	0.467	0.514	0.256	0.391	0.732	0.161	0.121	0.324	0.286
HI0148.F2:HI0194.F2	0.608	1	2	2	3	2	1	3	2	1	2	1	2	3	2	0.563	0.198	0.669	0.363	0.572	0.533	0.432	0.55	0.941	0.168	0.485	0.595	0.187	0.425
HI0148.F2:HI0196.F2	0.499	1	1	1	1	1	1	2	1	1	1	1	2	3	3	0.183	0.188	1.0	1.0	0.572	0.533	0.432	1.0	0.391	0.168	0.285	0.364	0.19	0.179
HI0148.F2:HI0197.F2	0.586	1	1	1	1	1	2	2	1	1	2	1	2	2	1	0.817	0.879	0.172	1.0	0.572	0.223	0.432	1.0	0.391	0.168	0.515	0.424	0.466	0.608
HI0148.F2:HI0198.F2	0.514	1	1	2	1	1	2	2	1	2	2	3	3	2	3	0.817	0.879	0.487	1.0	0.428	0.467	0.432	0.721	0.392	0.168	0.184	0.121	0.344	0.263
HI0148.F2:HI0199.F2	0.533	2	2	1	1	2	2	2	1	1	2	1	3	2	3	0.288	0.508	0.62	0.187	0.428	0.31	0.486	1.0	0.609	0.307	0.515	0.162	0.358	0.211
HI0148.F2:HI0200.F2	0.49	2	0	1	1	1	1	2	3	2	1	2	2	2	2	0.183	0.0	0.463	0.081	0.572	0.467	0.486	0.09	0.36	0.275	0.466	0.59	0.466	0.273
