comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
AB232.albumax.Control:AB239.albumax.Control	0.538	1	2	1	1	1	1	1	1	1	2	2	2	2	4	1.0	0.506	1.0	0.392	0.375	0.397	0.235	0.49	0.325	0.271	0.54	0.449	0.14	0.316
AB232.albumax.Control:AB241.albumax.Control	0.61	1	1	1	1	1	2	1	2	2	1	2	1	2	4	0.54	0.494	0.767	0.342	0.375	0.397	0.235	0.233	0.325	0.886	0.46	0.769	0.743	0.316
AB232.albumax.Control:AB243.albumax.Control	0.483	1	2	0	2	2	2	1	0	2	2	2	2	1	3	1.0	0.494	0.0	0.09	0.441	0.454	0.765	0.0	0.325	0.336	0.195	0.298	0.257	0.355
AB232.albumax.Control:AB246.albumax.Control	0.441	1	2	1	1	2	2	1	1	2	1	1	0	2	3	0.329	0.506	0.444	0.658	0.241	0.303	0.235	0.49	0.325	1.0	0.152	0.0	0.257	0.316
AB232.albumax.Control:AB247.albumax.Control	0.384	1	1	0	1	1	1	1	2	2	1	2	1	1	3	0.251	0.506	0.0	0.342	0.236	0.352	0.235	0.51	0.325	0.114	0.252	1.0	0.363	0.15
AB232.albumax.Control:AB248.albumax.Control	0.414	0	1	0	1	2	1	1	1	2	2	2	3	2	3	0.0	0.494	0.0	0.146	0.625	0.191	0.235	0.174	0.325	0.506	0.334	0.387	0.154	0.316
AB232.albumax.Control:AB250.albumax.Control	0.372	0	1	1	2	1	1	1	1	1	1	3	2	2	5	0.0	0.506	0.486	0.342	0.375	0.603	0.235	0.066	0.058	0.555	0.321	0.365	0.107	0.157
AB232.albumax.Control:AB251.albumax.Control	0.5	1	2	1	1	2	1	2	1	2	2	1	1	1	4	0.691	0.506	0.881	0.342	0.416	0.155	0.269	0.51	0.251	0.382	0.116	0.55	0.257	0.36
AB232.albumax.Control:AB252.albumax.Control	0.515	1	2	2	1	2	2	1	1	2	2	1	1	2	3	0.686	0.506	0.459	0.413	0.625	0.361	0.235	0.385	0.35	0.126	0.54	0.314	0.331	0.421
AB232.albumax.Control:AB253.albumax.Control	0.457	0	1	2	1	2	1	1	1	2	1	2	1	2	2	0.0	0.141	0.662	0.167	0.375	0.397	0.235	0.51	0.407	0.886	0.46	0.55	0.191	0.347
AB232.albumax.Control:AB254.albumax.Control	0.475	0	1	1	1	2	1	1	1	2	3	2	1	2	3	0.0	0.494	1.0	0.658	0.627	0.648	0.235	0.843	0.48	0.233	0.54	0.264	0.078	0.214
AB232.albumax.Control:AB255.albumax.Control	0.541	1	1	2	1	1	2	1	2	2	2	0	2	1	3	0.351	0.506	0.617	0.07	0.626	0.397	0.235	0.49	0.468	0.504	0.0	0.285	1.0	0.316
AB232.albumax.Control:AB280.albumax.Control	0.606	0	1	1	1	1	1	1	1	1	2	2	1	3	4	0.0	0.506	0.668	0.658	0.375	0.543	0.235	0.241	0.616	0.767	0.46	0.801	0.308	0.316
AB232.albumax.Control:AB283.albumax.Control	0.507	1	1	0	2	1	1	1	1	2	1	1	1	3	3	0.535	0.428	0.0	0.342	0.531	0.603	0.235	0.51	0.398	0.886	0.54	0.514	0.205	0.316
AB232.albumax.Control:AB290.albumax.Control	0.464	0	1	0	2	2	1	2	1	2	3	1	1	2	2	0.0	0.506	0.0	0.181	0.243	1.0	0.235	0.4	0.325	0.442	0.54	0.218	0.257	0.355
AB232.albumax.Control:AB291.albumax.Control	0.484	0	1	1	1	1	2	2	2	2	1	1	2	1	3	0.0	0.506	0.807	0.41	0.147	0.397	0.235	0.49	0.082	0.886	0.46	0.55	0.257	0.316
AB232.albumax.Control:AC054N2.serum.Control	0.439	1	1	1	1	1	1	1	1	1	1	2	2	1	2	0.159	0.494	1.0	1.0	0.055	0.397	0.235	0.49	0.251	0.114	0.46	0.171	0.226	0.431
